giftId,name,category,image,description,price,average_rating,link
15,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/51N5CsWCIBL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life – Without Lockscreen Ads – Black",189.99,4.7,https://www.amazon.com/kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=zg_mg_g_amazon-devices_d_sccl_15/142-5052663-6042538?psc=1
16,All-new Echo Show,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/61r09sDlpaL._AC_UL300_SR300,200_.jpg","All-new Echo Show 5 (3rd Gen, 2023 release) + Alexa Emergency Monthly (auto-renewal) | Smart display with deeper bass and clearer sound | Charcoal",89.99,4.5,https://www.amazon.com/All-new-release-Emergency-auto-renewal-Charcoal/dp/B0CG7VTM3T/ref=zg_mg_g_amazon-devices_d_sccl_16/142-5052663-6042538?psc=1
17,Amazon Fire HD,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/5160oIUsG8L._AC_UL300_SR300,200_.jpg","Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black",139.99,4.5,https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_mg_g_amazon-devices_d_sccl_17/142-5052663-6042538?psc=1
18,Amazon Fire TV,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41P0qtzxWSL._AC_UL300_SR300,200_.jpg","Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",59.99,4.6,https://www.amazon.com/all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_mg_g_amazon-devices_d_sccl_18/142-5052663-6042538?psc=1
19,All-new Ring Indoor,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41kvJ3MRFmL._AC_UL300_SR300,200_.jpg","All-new Ring Indoor Cam (2nd Gen), Black with 10 ft. USB-A to Micro USB Power Cable",59.99,4.7,https://www.amazon.com/All-new-Ring-Indoor-Black-Micro/dp/B0BX7HCDMG/ref=zg_mg_g_amazon-devices_d_sccl_19/142-5052663-6042538?psc=1
20,"Made for Amazon,",Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/81qK5NaQwOL._AC_UL300_SR300,200_.jpg","Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Edition. Only compatible with Kindle Paperwhite Signature Edition.",32.99,4.7,https://www.amazon.com/Wireless-Charging-Paperwhite-Signature-compatible/dp/B0952VWQWC/ref=zg_mg_g_amazon-devices_d_sccl_20/142-5052663-6042538?psc=1
21,Amazon Kindle –,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/71dFhAIwENL._AC_UL300_SR300,200_.jpg","Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Denim",99.99,4.6,https://www.amazon.com/kindle-the-lightest-and-most-compact-kindle/dp/B09SWV3BYH/ref=zg_mg_g_amazon-devices_d_sccl_21/142-5052663-6042538?psc=1
22,Amazon Fire TV,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/41DTzx56EWL._AC_UL300_SR300,200_.jpg","Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",29.99,4.6,https://www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_mg_g_amazon-devices_d_sccl_22/142-5052663-6042538?psc=1
23,Ring Battery Doorbell,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/61MBp1T6huL._AC_UL300_SR300,200_.jpg","Ring Battery Doorbell Plus | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk (2023 release)",149.99,4.6,https://www.amazon.com/All-new-Ring-Battery-Doorbell-detection/dp/B09WZBPX7K/ref=zg_mg_g_amazon-devices_d_sccl_23/142-5052663-6042538?psc=1
24,Amazon Kindle Paperwhite,Amazon Devices,"https://images-na.ssl-images-amazon.com/images/I/71+GvipIbIL._AC_UL300_SR300,200_.jpg","Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life– Without Lockscreen Ads – Agave Green",189.99,4.7,https://www.amazon.com/Kindle-Paperwhite-Signature-auto-adjusting-Lockscreen/dp/B09TN8DRY9/ref=zg_mg_g_amazon-devices_d_sccl_24/142-5052663-6042538?psc=1
